decision_date,planned_exec_date,symbol,reason,event,exit_layer
2019-09-23,2019-09-24,300750,trailing_stop: close=72.99 <= stop=73.74,exit_signal,STOP_TRAIL
2019-09-25,2019-09-26,002352,trailing_stop: close=37.80 <= stop=38.74,exit_signal,STOP_TRAIL
2019-09-25,2019-09-26,300408,trailing_stop: close=20.10 <= stop=20.19,exit_signal,STOP_TRAIL
2019-09-26,2019-09-27,002311,trailing_stop: close=31.28 <= stop=32.27,exit_signal,STOP_TRAIL
2019-10-08,2019-10-09,300251,trailing_stop: close=8.67 <= stop=8.72,exit_signal,STOP_TRAIL
2019-10-16,2019-10-17,300124,trailing_stop: close=23.85 <= stop=24.16,exit_signal,STOP_TRAIL
2019-10-18,2019-10-21,603369,trailing_stop: close=31.33 <= stop=31.58,exit_signal,STOP_TRAIL
2019-10-23,2019-10-24,601888,trailing_stop: close=92.07 <= stop=92.10,exit_signal,STOP_TRAIL
2019-10-24,2019-10-25,603259,trailing_stop: close=82.70 <= stop=83.70,exit_signal,STOP_TRAIL
2019-10-31,2019-11-01,300059,trailing_stop: close=14.92 <= stop=14.95,exit_signal,STOP_TRAIL
2019-11-11,2019-11-12,000157,trailing_stop: close=5.79 <= stop=5.79,exit_signal,STOP_TRAIL
2019-11-14,2019-11-15,002027,trailing_stop: close=5.78 <= stop=5.79,exit_signal,STOP_TRAIL
2019-11-22,2019-11-25,600276,trailing_stop: close=88.98 <= stop=90.91,exit_signal,STOP_TRAIL
2019-11-22,2019-11-25,300760,trailing_stop: close=182.69 <= stop=186.35,exit_signal,STOP_TRAIL
2019-12-10,2019-12-11,600585,take_profit: close=48.29 >= target=48.28,exit_signal,TAKE_PROFIT
2019-12-16,2019-12-17,300124,take_profit: close=29.33 >= target=28.98,exit_signal,TAKE_PROFIT
2019-12-30,2019-12-31,002050,take_profit: close=17.39 >= target=17.27,exit_signal,TAKE_PROFIT
2020-01-08,2020-01-09,000157,trailing_stop: close=6.55 <= stop=6.59,exit_signal,STOP_TRAIL
2020-01-09,2020-01-10,600660,overbought: RSI=80.3 >= 80.0,exit_signal,OVERBOUGHT
2020-01-13,2020-01-14,600176,take_profit: close=11.39 >= target=11.16,exit_signal,TAKE_PROFIT
2020-01-16,2020-01-17,001965,trailing_stop: close=8.52 <= stop=8.59,exit_signal,STOP_TRAIL
2020-01-20,2020-01-21,601117,take_profit: close=7.18 >= target=7.02,exit_signal,TAKE_PROFIT
2020-01-21,2020-01-22,601298,trailing_stop: close=6.78 <= stop=6.82,exit_signal,STOP_TRAIL
2020-01-23,2020-02-03,600196,trailing_stop: close=26.18 <= stop=26.81,exit_signal,STOP_TRAIL
2020-02-03,2020-02-04,601100,trailing_stop: close=45.44 <= stop=48.41,exit_signal,STOP_TRAIL
2020-02-03,2020-02-04,002463,trailing_stop: close=21.57 <= stop=23.12,exit_signal,STOP_TRAIL
2020-02-05,2020-02-06,300628,take_profit: close=95.49 >= target=94.53,exit_signal,TAKE_PROFIT
2020-02-06,2020-02-07,600161,take_profit: close=36.66 >= target=36.29,exit_signal,TAKE_PROFIT
2020-02-28,2020-03-02,601877,trailing_stop: close=26.97 <= stop=27.98,exit_signal,STOP_TRAIL
2020-03-09,2020-03-10,601117,trailing_stop: close=6.91 <= stop=7.03,exit_signal,STOP_TRAIL
2020-05-22,2020-05-25,000768,trailing_stop: close=17.08 <= stop=17.30,exit_signal,STOP_TRAIL
2020-06-15,2020-06-16,002304,trailing_stop: close=105.65 <= stop=106.29,exit_signal,STOP_TRAIL
2020-06-15,2020-06-16,600009,trailing_stop: close=71.21 <= stop=71.42,exit_signal,STOP_TRAIL
2020-06-18,2020-06-19,000301,take_profit: close=5.72 >= target=5.70,exit_signal,TAKE_PROFIT
2020-06-30,2020-07-01,600436,take_profit: close=170.25 >= target=168.10,exit_signal,TAKE_PROFIT
2020-07-02,2020-07-03,000858,take_profit: close=189.49 >= target=187.07,exit_signal,TAKE_PROFIT
2020-07-09,2020-07-10,601298,take_profit: close=6.77 >= target=6.75,exit_signal,TAKE_PROFIT
2020-07-10,2020-07-13,000625,take_profit: close=13.02 >= target=12.98,exit_signal,TAKE_PROFIT
2020-07-16,2020-07-17,000333,trailing_stop: close=61.14 <= stop=61.30,exit_signal,STOP_TRAIL
2020-07-17,2020-07-20,600900,trailing_stop: close=18.61 <= stop=19.09,exit_signal,STOP_TRAIL
2020-07-24,2020-07-27,601877,trailing_stop: close=27.18 <= stop=27.79,exit_signal,STOP_TRAIL
2020-07-27,2020-07-28,000301,trailing_stop: close=5.64 <= stop=5.68,exit_signal,STOP_TRAIL
2020-08-06,2020-08-07,600989,take_profit: close=11.18 >= target=11.14,exit_signal,TAKE_PROFIT
2020-08-10,2020-08-11,300760,trailing_stop: close=323.48 <= stop=323.99,exit_signal,STOP_TRAIL
2020-08-26,2020-08-27,600160,trailing_stop: close=7.01 <= stop=7.04,exit_signal,STOP_TRAIL
2020-09-03,2020-09-04,601872,trailing_stop: close=6.26 <= stop=6.33,exit_signal,STOP_TRAIL
2020-09-09,2020-09-10,000157,trailing_stop: close=8.01 <= stop=8.07,exit_signal,STOP_TRAIL
2020-09-25,2020-09-28,600886,trailing_stop: close=8.96 <= stop=8.99,exit_signal,STOP_TRAIL
2020-09-30,2020-10-09,601225,trailing_stop: close=8.39 <= stop=8.51,exit_signal,STOP_TRAIL
2020-10-12,2020-10-13,600031,take_profit: close=27.44 >= target=25.97,exit_signal,TAKE_PROFIT
2020-11-06,2020-11-09,601088,take_profit: close=17.83 >= target=17.66,exit_signal,TAKE_PROFIT
2020-11-06,2020-11-09,000651,overbought: RSI=83.6 >= 80.0,exit_signal,OVERBOUGHT
2020-11-18,2020-11-19,300347,trailing_stop: close=116.48 <= stop=119.50,exit_signal,STOP_TRAIL
2020-11-30,2020-12-01,601088,overbought: RSI=81.3 >= 80.0,exit_signal,OVERBOUGHT
2020-12-07,2020-12-08,600674,trailing_stop: close=10.15 <= stop=10.16,exit_signal,STOP_TRAIL
2020-12-30,2020-12-31,002179,take_profit: close=74.80 >= target=74.53,exit_signal,TAKE_PROFIT
2021-01-05,2021-01-06,600887,take_profit: close=50.93 >= target=49.10,exit_signal,TAKE_PROFIT
2021-01-07,2021-01-08,002415,take_profit: close=58.29 >= target=57.59,exit_signal,TAKE_PROFIT
2021-01-07,2021-01-08,002001,overbought: RSI=82.2 >= 80.0,exit_signal,OVERBOUGHT
2021-01-19,2021-01-20,603288,trailing_stop: close=200.19 <= stop=202.19,exit_signal,STOP_TRAIL
2021-01-28,2021-01-29,000425,trailing_stop: close=5.37 <= stop=5.50,exit_signal,STOP_TRAIL
2021-02-26,2021-03-01,601298,time_stop: 持有 60 天 >= 60,exit_signal,TIME_STOP
2021-06-11,2021-06-15,600160,trailing_stop: close=9.27 <= stop=9.80,exit_signal,STOP_TRAIL
