screen_date,rank,symbol,score
2018-09-26,1,600028,0.0
2018-11-02,1,601238,0.0
2018-12-03,1,601111,0.2878658490745108
2018-12-03,2,002311,-0.022559626485915085
2018-12-03,3,300498,-0.0830567364759191
2018-12-03,4,601766,-0.18224948611267652
2018-12-05,1,600406,0.0
2018-12-13,1,600522,0.0
2019-01-18,1,600886,0.402380140735446
2019-01-18,2,600674,-0.043954222988465325
2019-01-18,3,600436,-0.17401760937063876
2019-01-18,4,002311,-0.1844083083763416
2019-01-21,1,002311,0.0
2019-02-01,1,600436,0.0
2019-02-11,1,600660,0.21213203435596512
2019-02-11,2,002311,-0.21213203435596348
2019-02-12,1,600886,0.7489018889172592
2019-02-12,2,600029,-0.1855771771232007
2019-02-12,3,600406,-0.2171837343663321
2019-02-12,4,300124,-0.34614097742772637
2019-02-13,1,600019,0.21939933790482016
2019-02-13,2,600183,0.12785769296360988
2019-02-13,3,600406,-0.002943309265020899
2019-02-13,4,600029,-0.016175337338472595
2019-02-13,5,300124,-0.0582292332110451
2019-02-13,6,600089,-0.2699091510538918
2019-02-14,1,600183,0.3188431317796639
2019-02-14,2,600066,-0.11833670175900168
2019-02-14,3,600406,-0.20050643002066323
2019-02-18,1,001965,0.3649147973018191
2019-02-18,2,600406,0.13398468624085239
2019-02-18,3,600362,-0.49889948354267166
2019-02-19,1,601006,0.7972808263112767
2019-02-19,2,001965,-0.05468767820811554
2019-02-19,3,600489,-0.7425931481031611
2019-02-25,1,600519,0.6175636059260184
2019-02-25,2,601006,0.5306593034157073
2019-02-25,3,600674,0.13800968298000835
2019-02-25,4,603288,0.10888943506469309
2019-02-25,5,600690,0.05234403945929926
2019-02-25,6,600660,-0.12013627359523174
2019-02-25,7,600887,-0.27643253476634183
2019-02-25,8,600406,-0.4832740099799654
2019-02-25,9,601088,-0.5676232485041872
2019-02-26,1,600674,0.5845896594476228
2019-02-26,2,601088,-0.01297792288990715
2019-02-26,3,000538,-0.16993246631922532
2019-02-26,4,600600,-0.4016792702384901
2019-03-01,1,600176,0.0
2019-03-04,1,600028,0.3456124569312743
2019-03-04,2,600233,0.2856538398077849
2019-03-04,3,603288,0.23418193696990772
2019-03-04,4,600660,0.1525244871200765
2019-03-04,5,600160,0.12589964344289017
2019-03-04,6,600176,0.1175781249801434
2019-03-04,7,001965,0.09689728800480166
2019-03-04,8,601088,-0.19203821065972085
2019-03-04,9,600600,-0.4128854803484776
2019-03-04,10,600085,-0.7534240862486805
2019-03-11,1,002422,0.0
2019-03-12,1,000895,0.35355339059327373
2019-03-12,2,600085,-0.35355339059327373
