decision_date,planned_exec_date,symbol,reason,event,exit_layer
2024-01-22,2024-01-23,600161,break_ma200: close=26.68 < MA=27.15,exit_signal,STOP_TREND
2024-04-02,2024-04-03,300832,break_ma200: close=67.05 < MA=67.26,exit_signal,STOP_TREND
2024-07-11,2024-07-12,605499,rsi_revert: RSI=61.8 >= 55.0,exit_signal,OVERBOUGHT
2024-07-15,2024-07-16,002028,time_stop: 持有 12 天 >= 10,exit_signal,TIME_STOP
2024-07-15,2024-07-16,600690,time_stop: 持有 11 天 >= 10,exit_signal,TIME_STOP
2024-07-15,2024-07-16,300979,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2024-07-15,2024-07-16,000651,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2024-07-17,2024-07-18,600027,break_ma200: close=5.96 < MA=6.00,exit_signal,STOP_TREND
2024-07-17,2024-07-18,688169,break_ma200: close=331.99 < MA=334.12,exit_signal,STOP_TREND
2024-07-19,2024-07-22,600233,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2024-07-23,2024-07-24,688169,break_ma200: close=320.67 < MA=335.03,exit_signal,STOP_TREND
2024-08-05,2024-08-06,600066,time_stop: 持有 11 天 >= 10,exit_signal,TIME_STOP
2024-08-05,2024-08-06,603993,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2024-08-05,2024-08-06,601899,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2024-08-05,2024-08-06,601857,break_ma200: close=8.42 < MA=8.74,exit_signal,STOP_TREND
2024-08-16,2024-08-19,601138,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2024-09-04,2024-09-05,600489,stop_loss_5pct: close=12.49 <= stop=12.80,exit_signal,STOP_TRAIL
2024-09-23,2024-09-24,600025,time_stop: 持有 11 天 >= 10,exit_signal,TIME_STOP
2024-09-23,2024-09-24,600900,time_stop: 持有 11 天 >= 10,exit_signal,TIME_STOP
2024-09-23,2024-09-24,601298,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2024-09-23,2024-09-24,300476,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2025-01-06,2025-01-07,300015,break_ma200: close=12.40 < MA=12.46,exit_signal,STOP_TREND
2025-01-08,2025-01-09,603260,break_ma200: close=51.80 < MA=52.07,exit_signal,STOP_TREND
2025-01-08,2025-01-09,000963,break_ma200: close=31.29 < MA=31.85,exit_signal,STOP_TREND
2025-01-09,2025-01-10,600196,break_ma200: close=23.98 < MA=24.15,exit_signal,STOP_TREND
2025-01-20,2025-01-21,603288,time_stop: 持有 11 天 >= 10,exit_signal,TIME_STOP
2025-02-17,2025-02-18,603288,time_stop: 持有 11 天 >= 10,exit_signal,TIME_STOP
2025-04-18,2025-04-21,603019,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2025-04-18,2025-04-21,600570,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2025-04-18,2025-04-21,603986,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2025-04-18,2025-04-21,300033,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2025-04-18,2025-04-21,300251,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2025-04-18,2025-04-21,688256,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2025-04-21,2025-04-22,603259,time_stop: 持有 12 天 >= 10,exit_signal,TIME_STOP
2025-06-13,2025-06-16,688256,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2025-06-30,2025-07-01,688256,time_stop: 持有 12 天 >= 10,exit_signal,TIME_STOP
2025-08-06,2025-08-07,601728,break_ma200: close=7.35 < MA=7.40,exit_signal,STOP_TREND
2025-12-22,2025-12-23,600660,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2026-02-02,2026-02-03,300750,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2026-02-05,2026-02-06,688256,stop_loss_5pct: close=1058.33 <= stop=1071.60,exit_signal,STOP_TRAIL
2026-02-24,2026-02-25,688256,time_stop: 持有 14 天 >= 10,exit_signal,TIME_STOP
2026-03-20,2026-03-23,603799,stop_loss_5pct: close=57.41 <= stop=57.61,exit_signal,STOP_TRAIL
2026-03-23,2026-03-24,600362,stop_loss_5pct: close=42.45 <= stop=43.39,exit_signal,STOP_TRAIL
2026-03-23,2026-03-24,603993,stop_loss_5pct: close=16.49 <= stop=16.96,exit_signal,STOP_TRAIL
2026-03-30,2026-03-31,000408,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2026-04-02,2026-04-03,601899,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2026-04-03,2026-04-07,600489,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2026-04-03,2026-04-07,000630,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2026-04-03,2026-04-07,000157,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
2026-04-03,2026-04-07,002050,time_stop: 持有 10 天 >= 10,exit_signal,TIME_STOP
