symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,pnl_pct,hold_days,exit_reason
601825,2026-01-06,9.369359999999999,2026-01-12,8.971020000000001,16000,-6560.03721599996,-0.04251517713056152,6,break_ma60: close=9.03 < MA60=9.06
300442,2026-01-06,55.56550999999999,2026-01-12,72.93699000000001,100,1727.6661913000019,0.3126306228449991,6,take_profit: close=69.20 >= target=68.21
002709,2026-01-06,47.49745,2026-01-15,42.63732,3100,-15238.231399599994,-0.10232401949999415,9,trailing_stop: close=43.05 <= stop=43.23
601628,2026-01-06,48.31827,2026-01-19,47.4525,3100,-2875.120574999993,-0.01791806701688614,13,trailing_stop: close=47.52 <= stop=48.05
601319,2026-01-06,9.439429999999998,2026-01-19,9.200790000000001,15800,-3959.496226599947,-0.025281187529331395,13,trailing_stop: close=9.30 <= stop=9.35
000338,2026-01-13,18.848829999999996,2026-01-19,20.979,600,1261.7383800000018,0.11301338067137334,6,overbought: RSI=81.3 >= 80.0
601336,2026-01-06,75.95588,2026-01-23,77.81211,1900,3334.6410883000203,0.02443826600389598,17,trailing_stop: close=77.83 <= stop=78.02
601318,2026-01-12,68.9689,2026-01-23,65.1348,2000,-7837.5504800000135,-0.05559172322597583,11,trailing_stop: close=64.80 <= stop=64.97
600938,2026-01-06,29.069039999999998,2026-01-27,33.30666,3500,14680.12469700001,0.1457777759430654,21,take_profit: close=33.49 >= target=32.73
605117,2026-01-26,91.66156999999998,2026-01-30,85.42449,1300,-8252.57138809997,-0.06804465601014664,4,trailing_stop: close=86.36 <= stop=87.90
601600,2026-01-15,13.493479999999998,2026-02-02,12.99699,9400,-4825.82921779998,-0.03679480756632081,18,trailing_stop: close=14.13 <= stop=14.22
600875,2026-01-20,27.207179999999997,2026-02-02,24.83514,5500,-13223.79125099999,-0.0871843388399679,13,trailing_stop: close=24.85 <= stop=25.22
000807,2026-01-16,33.343309999999995,2026-02-03,33.05691,100,-32.93739829999933,-0.008589429183845088,18,trailing_stop: close=32.22 <= stop=33.57
002001,2026-01-20,26.636609999999997,2026-02-03,26.63334,5600,-212.20271519998317,-0.0001227633696628816,14,trailing_stop: close=26.24 <= stop=26.71
600309,2026-01-20,82.46237999999998,2026-02-03,81.59832,100,-97.01378159999807,-0.010478232619528849,14,trailing_stop: close=80.33 <= stop=81.35
300502,2026-02-03,457.45699999999994,2026-02-06,375.67395,300,-24681.427840499982,-0.17877756816487655,3,trailing_stop: close=383.00 <= stop=389.43
601628,2026-01-28,48.468419999999995,2026-02-25,46.363589999999995,2400,-5196.2464008,-0.04342683338965869,28,break_ma60: close=46.41 < MA60=46.81
601857,2026-01-06,10.06005,2026-03-03,12.297690000000001,14900,33102.62974470001,0.22242831795070606,56,take_profit: close=11.95 >= target=11.65
