decision_date,planned_exec_date,symbol,reason,event,exit_layer
2019-11-22,2019-11-25,GOOGL,trailing_stop: close=1293.67 <= stop=1296.29,exit_signal,STOP_TRAIL
2019-11-22,2019-11-25,AMGN,take_profit: close=230.74 >= target=229.85,exit_signal,TAKE_PROFIT
2019-11-25,2019-11-26,NVDA,take_profit: close=221.21 >= target=216.76,exit_signal,TAKE_PROFIT
2019-12-13,2019-12-16,AVGO,trailing_stop: close=315.42 <= stop=316.02,exit_signal,STOP_TRAIL
2019-12-13,2019-12-16,LULU,trailing_stop: close=223.55 <= stop=224.05,exit_signal,STOP_TRAIL
2020-01-06,2020-01-07,FAST,trailing_stop: close=36.00 <= stop=36.12,exit_signal,STOP_TRAIL
2020-01-10,2020-01-13,NXPI,take_profit: close=129.64 >= target=128.97,exit_signal,TAKE_PROFIT
2020-01-15,2020-01-16,ROST,trailing_stop: close=117.77 <= stop=118.42,exit_signal,STOP_TRAIL
2020-01-16,2020-01-17,MNST,take_profit: close=67.10 >= target=67.08,exit_signal,TAKE_PROFIT
2020-01-17,2020-01-21,ADBE,take_profit: close=349.74 >= target=347.12,exit_signal,TAKE_PROFIT
2020-01-17,2020-01-21,CDW,trailing_stop: close=136.85 <= stop=140.51,exit_signal,STOP_TRAIL
2020-01-23,2020-01-24,ASML,trailing_stop: close=294.32 <= stop=294.43,exit_signal,STOP_TRAIL
2020-01-24,2020-01-27,ISRG,trailing_stop: close=589.20 <= stop=594.97,exit_signal,STOP_TRAIL
2020-01-27,2020-01-28,MCHP,trailing_stop: close=102.98 <= stop=106.73,exit_signal,STOP_TRAIL
2020-01-27,2020-01-28,TXN,trailing_stop: close=126.31 <= stop=129.80,exit_signal,STOP_TRAIL
2020-01-27,2020-01-28,ODFL,trailing_stop: close=200.69 <= stop=202.36,exit_signal,STOP_TRAIL
2020-01-27,2020-01-28,FTNT,trailing_stop: close=114.43 <= stop=114.84,exit_signal,STOP_TRAIL
2020-01-29,2020-01-30,PAYX,trailing_stop: close=87.40 <= stop=87.68,exit_signal,STOP_TRAIL
2020-01-31,2020-02-03,EA,trailing_stop: close=107.92 <= stop=110.23,exit_signal,STOP_TRAIL
2020-01-31,2020-02-03,AAPL,trailing_stop: close=309.51 <= stop=312.32,exit_signal,STOP_TRAIL
2020-02-18,2020-02-19,XEL,take_profit: close=71.16 >= target=70.95,exit_signal,TAKE_PROFIT
