symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,pnl_pct,hold_days,exit_reason
WDAY,2019-03-01,200.04984999999996,2019-03-05,180.14967000000001,700,-13967.957430699964,-0.09947610558068376,4,trailing_stop: close=179.22 <= stop=188.27
ZS,2019-02-28,51.050999999999995,2019-03-15,67.16277000000001,2900,46665.70139010004,0.31560145736616363,15,take_profit: close=66.94 >= target=65.95
ADI,2019-03-18,109.13902999999999,2019-03-26,105.92397,100,-324.6837190999994,-0.029458388992462115,8,trailing_stop: close=105.25 <= stop=106.17
KLAC,2019-02-20,108.85874999999999,2019-03-28,118.44144,1300,12411.304838400018,0.08802866099417828,36,trailing_stop: close=118.10 <= stop=118.79
TMUS,2019-02-19,72.08201,2019-03-29,69.26067,2000,-5684.236401999984,-0.039140695438431794,38,trailing_stop: close=69.15 <= stop=71.42
XEL,2019-02-21,54.01396,2019-04-02,55.72422,2700,4572.565381800014,0.03166329593312556,40,trailing_stop: close=55.57 <= stop=55.95
IDXX,2019-04-09,227.35712999999998,2019-04-18,216.67310999999998,100,-1074.9021933000006,-0.04699223639918393,9,trailing_stop: close=215.53 <= stop=219.45
CSGP,2019-04-02,481.48099999999994,2019-04-25,475.49403,300,-1838.8854626999785,-0.012434488588334625,23,trailing_stop: close=474.37 <= stop=477.32
DLTR,2019-03-07,99.52942999999999,2019-04-26,110.30958,1500,16120.585689000009,0.10831117991934658,50,take_profit: close=110.76 >= target=110.68
NVDA,2019-03-12,162.42225999999997,2019-04-29,178.23158999999998,600,9453.516313800012,0.097334749559574,48,trailing_stop: close=178.09 <= stop=181.42
ADBE,2019-03-15,258.28802999999994,2019-05-01,290.709,500,16166.878650000033,0.1255225416369472,47,take_profit: close=289.25 >= target=288.96
VRSK,2019-03-28,132.15202,2019-05-06,141.06879,1100,9761.894299300015,0.0674735808048943,39,take_profit: close=143.21 >= target=143.00
ANSS,2019-02-28,186.18599999999998,2019-05-08,188.23157999999998,800,1591.288420800001,0.010986755180303565,69,trailing_stop: close=188.92 <= stop=189.45
MCHP,2019-04-04,90.33023999999999,2019-05-08,89.86005,1600,-795.436823999981,-0.005205233596190961,34,trailing_stop: close=94.15 <= stop=96.42
ASML,2019-04-18,206.25605,2019-05-08,201.48830999999998,100,-482.81864930000035,-0.023115637092827157,20,trailing_stop: close=200.69 <= stop=201.98
LRCX,2019-03-18,182.00181999999998,2019-05-13,191.1087,300,2714.8642170000053,0.050037301824784164,56,trailing_stop: close=197.90 <= stop=198.31
CDNS,2019-04-24,66.85679,2019-05-14,67.20273,100,32.57791809999988,0.0051743435483515565,20,trailing_stop: close=66.90 <= stop=67.41
SNPS,2019-05-17,123.62349999999999,2019-05-21,116.27361,1200,-8861.726499599987,-0.05945382552669998,4,trailing_stop: close=115.01 <= stop=118.14
ALGN,2019-04-26,299.04875,2019-05-24,309.28040999999996,500,5069.437938499988,0.03421402028933396,28,trailing_stop: close=307.85 <= stop=309.64
SBUX,2019-04-29,77.37729999999999,2019-05-24,76.75317,1900,-1229.5963068999883,-0.008066060718065815,25,trailing_stop: close=76.41 <= stop=76.44
MDLZ,2019-05-02,51.5515,2019-05-29,50.91903,2100,-1360.2659888999956,-0.012268702171614798,27,trailing_stop: close=50.97 <= stop=51.35
TMUS,2019-05-17,75.46539,2019-06-03,73.54638,1900,-3688.0404366000002,-0.025429007920054425,17,trailing_stop: close=73.44 <= stop=74.73
CSGP,2019-05-01,497.76726999999994,2019-06-04,503.93556,300,1805.132799600021,0.012391915603450654,34,trailing_stop: close=499.62 <= stop=505.27
WDAY,2019-05-29,210.05984999999998,2019-06-04,193.32648,700,-11753.957560799985,-0.07966001118252719,6,trailing_stop: close=191.88 <= stop=199.61
MNST,2019-06-10,65.92585999999999,2019-06-14,60.74919,2200,-11428.768465399971,-0.07852260099451092,4,trailing_stop: close=60.60 <= stop=63.34
