screen_date,rank,symbol,score
2019-12-12,3,NXPI,0.03697223002966438
2019-12-12,4,AVGO,-1.0004307490500406
2019-12-13,1,ADBE,0.0
2019-12-16,1,CDW,0.0
2019-12-17,1,NFLX,0.0
2019-12-18,1,NFLX,0.0
2019-12-20,1,CDW,1.1738878639355321
2019-12-20,2,ANSS,1.1458066529300814
2019-12-20,3,ADBE,0.42087043104503447
2019-12-20,4,MSFT,0.39228931708265546
2019-12-20,5,ADI,-0.4571802373753897
2019-12-20,6,MNST,-0.5787026034266533
2019-12-20,7,ILMN,-1.0212946626982156
2019-12-20,8,PEP,-1.0756767614930451
2020-01-02,1,MCHP,0.7071067811865475
2020-01-02,2,MELI,-0.7071067811865475
2020-01-07,1,TXN,0.0
2020-01-13,1,ODFL,0.7071067811865475
2020-01-13,2,PYPL,-0.7071067811865475
2020-01-16,1,VRTX,1.1372040082968131
2020-01-16,2,ADP,-0.547374937501579
2020-01-16,3,CSX,-0.5898290707952341
2020-01-17,1,EA,1.1973860019237712
2020-01-17,2,MSFT,1.0752221167333575
2020-01-17,3,PYPL,0.10999863314543162
2020-01-17,4,SNPS,-0.013212112954733762
2020-01-17,5,ADP,-0.5227995217784411
2020-01-17,6,INTU,-0.843785094359071
2020-01-17,7,TTWO,-1.0028100227103147
2020-01-21,1,XEL,0.0
2020-01-22,1,TXN,0.0
2020-01-23,1,FTNT,1.4057867059522107
2020-01-23,2,NFLX,-0.35356753769820853
2020-01-23,3,ISRG,-0.3737108235252916
2020-01-23,4,TXN,-0.6785083447287105
2020-01-24,1,NFLX,0.0
2020-01-29,1,AAPL,0.0
2020-01-30,1,MSFT,0.0
2020-01-31,1,CHTR,0.0
2020-02-03,1,GOOG,0.7071067811865476
2020-02-03,2,GOOGL,-0.7071067811865476
2020-02-04,1,MNST,5.551115123125783e-17
2020-02-04,2,CSGP,-5.551115123125783e-17
2020-02-05,1,VRSK,0.0
2020-02-06,1,FTNT,0.0
2020-02-07,1,TMUS,0.0
2020-02-10,1,NVDA,0.0
2020-02-11,1,VRTX,0.0
2020-02-12,1,MU,0.7505343608385777
2020-02-12,2,AMAT,-0.04363400012077201
2020-02-12,3,CSCO,-0.7069003607178057
2020-02-13,1,DXCM,0.0
2020-02-14,1,ANSS,0.0
2020-02-18,1,VRSK,0.0
2020-02-19,1,IDXX,0.0
2020-02-20,1,PAYX,0.0
2020-05-18,1,KHC,0.0
2020-05-27,1,VRSK,0.0
2020-05-29,1,IDXX,0.6751447034517107
2020-05-29,2,ADBE,0.2396144174159004
2020-05-29,3,CHTR,-0.9147591208676109
2020-06-12,1,ADBE,0.0
2020-06-19,1,AMZN,0.9779724819291564
2020-06-19,2,TMUS,-0.00585420287081137
2020-06-19,3,CSGP,-0.9721182790583452
2020-06-23,1,TMUS,0.0
2020-06-24,1,TMUS,0.0
2020-06-26,1,EA,0.0
2020-07-13,1,PEP,0.0
2020-07-17,1,ILMN,0.5611947886094472
2020-07-17,2,MNST,0.41921150057548306
2020-07-17,3,PCAR,-0.9804062891849308
2020-07-23,1,MU,0.0
2020-07-27,1,ORLY,0.0
2020-07-29,1,PYPL,0.0
2020-07-31,1,EA,0.7071067811865476
2020-07-31,2,CHTR,-0.7071067811865476
2020-08-03,1,MSFT,0.0
2020-08-04,1,COST,0.0
2020-08-11,1,CSX,0.0
2020-08-12,1,CSCO,0.0
2020-08-14,1,AMAT,0.0
2020-08-19,1,MCHP,0.0
2020-08-25,1,WDAY,0.0
2020-08-26,1,PEP,0.0
2020-08-27,1,ISRG,0.0
2020-08-28,1,ANSS,0.0
2020-08-31,1,AVGO,0.0
2020-09-02,1,FAST,0.7071067811865475
2020-09-02,2,ADI,-0.7071067811865475
2020-09-04,1,ON,0.0
2020-09-09,1,ALGN,0.0
2020-10-19,1,PCAR,0.0
2020-10-21,1,PCAR,0.0
2020-10-22,1,CSX,0.0
2020-10-28,1,ADP,0.0
2020-11-04,1,SNPS,1.0031538416972303
2020-11-04,2,CDW,-0.13186460979633222
2020-11-04,3,VRSK,-0.8712892319008978
2020-11-30,1,COST,0.7071067811865476
2020-11-30,2,FAST,-0.7071067811865476
2020-12-01,1,ODFL,0.0
