screen_date,factor_rank,symbol,factor_score,signal_entry_price,stop_loss,take_profit,timing_reason,already_held,queued_for_buy
2019-02-15,1,TMUS,0.0,72.05,68.97267778300606,81.28196665098181,"趋势 OK: 2019-02-08 金叉 (MA20=68.56 > MA60=66.97) | 动量 OK: RSI=67.7 (带 [45.7,80.1]) | 量能 OK: 量比=1.50 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-02-19,1,KLAC,0.0,108.26,102.98395603367122,124.08813189898635,"趋势 OK: 2019-02-11 金叉 (MA20=104.20 > MA60=96.13) | 动量 OK: RSI=67.5 (带 [45.1,80.4]) | 量能 OK: 量比=3.63 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-02-20,1,XEL,0.0,54.1,52.54342886591127,58.7697134022662,"趋势 OK: 2019-02-12 金叉 (MA20=52.42 > MA60=51.33) | 动量 OK: RSI=73.0 (带 [47.1,79.4]) | 量能 OK: 量比=1.72 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-02-27,1,ZS,0.7071067811865475,50.72,47.56583774939127,60.18248675182618,"趋势 OK: 2019-02-20 金叉 (MA20=49.08 > MA60=44.12) | 动量 OK: RSI=68.9 (带 [43.8,81.1]) | 量能 OK: 量比=2.07 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-02-27,2,ANSS,-0.7071067811865475,176.83,170.2063283430938,196.70101497071872,"趋势 OK: 2019-02-20 金叉 (MA20=171.95 > MA60=158.68) | 动量 OK: RSI=71.9 (带 [46.3,79.9]) | 量能 OK: 量比=1.51 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-02-28,1,WDAY,0.7071067811865475,197.93,188.26525361932568,226.92423914202297,"趋势 OK: 2019-02-21 金叉 (MA20=190.37 > MA60=172.09) | 动量 OK: RSI=69.9 (带 [45.1,80.4]) | 量能 OK: 量比=1.62 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-02-28,2,ANSS,-0.7071067811865475,177.26,169.77801917572992,199.70594247281022,"趋势 OK: 2019-02-21 金叉 (MA20=172.66 > MA60=158.97) | 动量 OK: RSI=72.5 (带 [45.8,80.1]) | 量能 OK: 量比=2.45 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",True,False
2019-03-01,1,ANSS,0.0,182.23,174.48244637746348,205.4726608676095,"趋势 OK: 2019-02-22 金叉 (MA20=173.56 > MA60=159.31) | 动量 OK: RSI=78.7 (带 [45.7,80.1]) | 量能 OK: 量比=1.67 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",True,False
2019-03-06,1,DLTR,0.0,100.35,96.44074683671789,112.07775948984631,"趋势 OK: 2019-02-27 金叉 (MA20=97.61 > MA60=93.65) | 动量 OK: RSI=65.2 (带 [46.1,79.9]) | 量能 OK: 量比=4.47 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-03-11,1,NVDA,5.551115123125783e-17,161.14,149.16249230833463,197.072523074996,"趋势 OK: 2019-03-04 金叉 (MA20=155.04 > MA60=147.24) | 动量 OK: RSI=59.5 (带 [42.6,81.7]) | 量能 OK: 量比=1.53 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-03-11,2,COST,-5.551115123125783e-17,229.69,221.69288331907725,253.6813500427682,"趋势 OK: 2019-03-04 金叉 (MA20=217.66 > MA60=211.23) | 动量 OK: RSI=73.2 (带 [46.5,79.7]) | 量能 OK: 量比=1.60 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-03-12,1,GOOG,0.0,1193.2,1148.612293650805,1326.9631190475855,"趋势 OK: 2019-03-05 金叉 (MA20=1132.02 > MA60=1087.41) | 动量 OK: RSI=70.7 (带 [46.3,79.9]) | 量能 OK: 量比=1.51 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-03-13,1,SNPS,0.7071067811865475,107.63,103.94682716479204,118.67951850562388,"趋势 OK: 2019-03-06 金叉 (MA20=103.05 > MA60=93.87) | 动量 OK: RSI=76.0 (带 [46.6,79.7]) | 量能 OK: 量比=1.52 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-03-13,2,ADBE,-0.7071067811865475,264.38,252.98910648228437,298.5526805531469,"趋势 OK: 2019-03-06 金叉 (MA20=259.63 > MA60=244.40) | 动量 OK: RSI=64.1 (带 [45.7,80.2]) | 量能 OK: 量比=1.53 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-03-14,1,ADBE,0.0,267.69,256.47274173354975,301.34177479935073,"趋势 OK: 2019-03-07 金叉 (MA20=260.00 > MA60=245.02) | 动量 OK: RSI=68.0 (带 [45.8,80.1]) | 量能 OK: 量比=1.85 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-03-15,1,LRCX,1.6385602718509515,182.39,172.32949321403996,212.57152035788008,"趋势 OK: 2019-03-08 金叉 (MA20=175.99 > MA60=159.52) | 动量 OK: RSI=64.9 (带 [44.5,80.8]) | 量能 OK: 量比=2.62 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-03-15,2,INTU,1.4731493377941192,258.13,248.79439529203654,286.13681412389036,"趋势 OK: 2019-03-08 金叉 (MA20=246.88 > MA60=221.10) | 动量 OK: RSI=76.1 (带 [46.4,79.8]) | 量能 OK: 量比=2.04 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-03-15,3,ADI,0.882462859088327,109.39,105.38650572259115,121.40048283222657,"趋势 OK: 2019-03-08 金叉 (MA20=107.02 > MA60=96.78) | 动量 OK: RSI=66.6 (带 [46.3,79.8]) | 量能 OK: 量比=1.53 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-03-15,4,SNPS,0.7903916263414642,109.17,105.5384887288258,120.06453381352263,"趋势 OK: 2019-03-08 金叉 (MA20=103.84 > MA60=94.60) | 动量 OK: RSI=78.9 (带 [46.7,79.7]) | 量能 OK: 量比=1.84 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,True
2019-03-15,5,AVGO,0.30594139575025125,290.29,274.90802653947935,336.4359203815621,"趋势 OK: 2019-03-08 金叉 (MA20=274.95 > MA60=263.33) | 动量 OK: RSI=65.9 (带 [44.7,80.6]) | 量能 OK: 量比=4.87 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,False
2019-03-15,6,CSCO,0.20508437843657146,53.2,51.57728875541219,58.068133733763446,"趋势 OK: 2019-03-08 金叉 (MA20=51.20 > MA60=46.90) | 动量 OK: RSI=77.2 (带 [46.9,79.5]) | 量能 OK: 量比=1.99 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,False
2019-03-15,7,PYPL,0.06238162423098029,100.73,97.08706011769908,111.65881964690276,"趋势 OK: 2019-03-08 金叉 (MA20=96.95 > MA60=91.52) | 动量 OK: RSI=70.6 (带 [46.4,79.8]) | 量能 OK: 量比=1.70 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,False
2019-03-15,8,CDW,-0.25241442387291463,97.82,94.66159012124815,107.2952296362555,"趋势 OK: 2019-03-08 金叉 (MA20=94.85 > MA60=86.72) | 动量 OK: RSI=70.3 (带 [46.8,79.6]) | 量能 OK: 量比=1.73 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,False
2019-03-15,9,ADP,-0.31104312374895154,155.31,151.24977599344365,167.49067201966903,"趋势 OK: 2019-03-08 金叉 (MA20=152.14 > MA60=140.99) | 动量 OK: RSI=69.5 (带 [47.4,79.3]) | 量能 OK: 量比=2.60 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,False
2019-03-15,10,CHTR,-0.3207564932369386,355.92,343.41113847940835,393.44658456177496,"趋势 OK: 2019-03-08 金叉 (MA20=346.35 > MA60=318.48) | 动量 OK: RSI=70.5 (带 [46.5,79.8]) | 量能 OK: 量比=1.92 (阈=1.50) | M2结构OK: 收盘突破前30日最高收盘(含缓冲)",False,False
