date,n_positions,market_value,cash
2018-01-02,0,0.0,1000000.0
2018-01-03,0,0.0,1000000.0
2018-01-04,0,0.0,1000000.0
2018-01-05,0,0.0,1000000.0
2018-01-08,0,0.0,1000000.0
2018-01-09,0,0.0,1000000.0
2018-01-10,0,0.0,1000000.0
2018-01-11,0,0.0,1000000.0
2018-01-12,0,0.0,1000000.0
2018-01-16,0,0.0,1000000.0
2018-01-17,0,0.0,1000000.0
2018-01-18,0,0.0,1000000.0
2018-01-19,0,0.0,1000000.0
2018-01-22,0,0.0,1000000.0
2018-01-23,0,0.0,1000000.0
2018-01-24,0,0.0,1000000.0
2018-01-25,0,0.0,1000000.0
2018-01-26,0,0.0,1000000.0
2018-01-29,0,0.0,1000000.0
2018-01-30,0,0.0,1000000.0
2018-01-31,0,0.0,1000000.0
2018-02-01,0,0.0,1000000.0
2018-02-02,0,0.0,1000000.0
2018-02-05,0,0.0,1000000.0
2018-02-06,0,0.0,1000000.0
2018-02-07,0,0.0,1000000.0
2018-02-08,0,0.0,1000000.0
2018-02-09,0,0.0,1000000.0
2018-02-12,0,0.0,1000000.0
2018-02-13,0,0.0,1000000.0
2018-02-14,0,0.0,1000000.0
2018-02-15,0,0.0,1000000.0
2018-02-16,0,0.0,1000000.0
2018-02-20,0,0.0,1000000.0
2018-02-21,0,0.0,1000000.0
2018-02-22,0,0.0,1000000.0
2018-02-23,0,0.0,1000000.0
2018-02-26,0,0.0,1000000.0
2018-02-27,0,0.0,1000000.0
2018-02-28,0,0.0,1000000.0
2018-03-01,0,0.0,1000000.0
2018-03-02,0,0.0,1000000.0
2018-03-05,0,0.0,1000000.0
2018-03-06,0,0.0,1000000.0
2018-03-07,0,0.0,1000000.0
2018-03-08,0,0.0,1000000.0
2018-03-09,0,0.0,1000000.0
2018-03-12,0,0.0,1000000.0
2018-03-13,0,0.0,1000000.0
2018-03-14,0,0.0,1000000.0
2018-03-15,0,0.0,1000000.0
2018-03-16,0,0.0,1000000.0
2018-03-19,0,0.0,1000000.0
2018-03-20,0,0.0,1000000.0
2018-03-21,0,0.0,1000000.0
2018-03-22,0,0.0,1000000.0
2018-03-23,0,0.0,1000000.0
2018-03-26,0,0.0,1000000.0
2018-03-27,0,0.0,1000000.0
2018-03-28,0,0.0,1000000.0
2018-03-29,0,0.0,1000000.0
2018-04-02,0,0.0,1000000.0
2018-04-03,0,0.0,1000000.0
2018-04-04,0,0.0,1000000.0
2018-04-05,0,0.0,1000000.0
2018-04-06,0,0.0,1000000.0
2018-04-09,0,0.0,1000000.0
2018-04-10,0,0.0,1000000.0
2018-04-11,0,0.0,1000000.0
2018-04-12,0,0.0,1000000.0
2018-04-13,0,0.0,1000000.0
2018-04-16,0,0.0,1000000.0
2018-04-17,0,0.0,1000000.0
2018-04-18,0,0.0,1000000.0
2018-04-19,1,113265.0,886804.0023853
2018-04-20,1,113079.0,886804.0023853
2018-04-23,1,110658.0,886804.0023853
2018-04-24,1,115503.0,886804.0023853
2018-04-25,1,111048.0,886804.0023853
2018-04-26,1,111186.0,886804.0023853
2018-04-27,1,110736.0,886804.0023853
2018-04-30,1,109998.0,886804.0023853
2018-05-01,1,110694.0,886804.0023853
2018-05-02,1,110490.0,886804.0023853
2018-05-03,1,111981.0,886804.0023853
2018-05-04,1,113361.0,886804.0023853
2018-05-07,1,115803.0,886804.0023853
2018-05-08,1,115959.0,886804.0023853
2018-05-09,1,117084.0,886804.0023853
2018-05-10,2,268435.0,739337.5007028
2018-05-11,2,268589.0,739337.5007028
2018-05-14,2,266244.0,739337.5007028
2018-05-15,2,264625.0,739337.5007028
2018-05-16,2,260849.0,739337.5007028
2018-05-17,2,258486.0,739337.5007028
2018-05-18,1,146300.0,852140.6995878
2018-05-21,1,148300.0,852140.6995878
2018-05-22,1,146925.0,852140.6995878
2018-05-23,1,147925.0,852140.6995878
2018-05-24,2,290053.0,715112.7535328
2018-05-25,2,288888.0,715112.7535328
2018-05-29,2,287515.0,715112.7535328
2018-05-30,2,293720.0,715112.7535328
2018-05-31,2,294070.0,715112.7535328
2018-06-01,7,1011291.0,8935.703954800148
2018-06-04,7,1021078.0,8935.703954800148
2018-06-05,7,1028463.0,8935.703954800148
2018-06-06,7,1034887.0,8935.703954800148
2018-06-07,7,1021141.0,8221.217554900155
2018-06-08,7,1024166.0,8221.217554900155
2018-06-11,7,1028840.0,8221.217554900155
2018-06-12,7,1035110.0,8221.217554900155
2018-06-13,7,1032278.0,8221.217554900155
2018-06-14,7,1006514.0,41512.914956200184
2018-06-15,6,845259.0,198493.62161170016
2018-06-18,8,1030820.0,12313.846430300175
2018-06-19,8,1022484.0,12313.846430300175
2018-06-20,6,764694.0,272621.08482410014
2018-06-21,6,758115.0,272621.08482410014
2018-06-22,6,755490.0,272621.08482410014
2018-06-25,5,624657.0,392540.0233466001
2018-06-26,3,328517.0,688060.4356181002
2018-06-27,3,323893.0,688060.4356181002
2018-06-28,2,178470.0,834584.2000376002
2018-06-29,2,179792.0,834584.2000376002
2018-07-02,2,182054.0,834584.2000376002
2018-07-03,2,182968.0,834584.2000376002
2018-07-05,2,186208.0,834584.2000376002
2018-07-06,2,189760.0,834584.2000376002
2018-07-09,1,42188.0,982511.6884736002
2018-07-10,1,42340.0,982511.6884736002
2018-07-11,3,328988.0,695937.5400130003
2018-07-12,3,330269.0,695937.5400130003
2018-07-13,4,473794.0,551753.3007139002
2018-07-16,4,472976.0,551753.3007139002
2018-07-17,4,478766.0,551753.3007139002
2018-07-18,5,620686.0,409272.27322510025
2018-07-19,5,622776.0,409272.27322510025
2018-07-20,5,729984.0,302872.4180804002
2018-07-23,6,876107.0,153858.90743440023
2018-07-24,7,1012766.0,8710.41594640023
2018-07-25,6,891210.0,144559.62295420023
2018-07-26,8,1027527.0,5435.5819892003765
2018-07-27,9,1029925.0,1089.938687200376
2018-07-30,7,868875.0,151200.58597900037
2018-07-31,5,606306.0,424964.31221500033
2018-08-01,6,742328.0,287354.6106857003
2018-08-02,8,1025122.0,18834.907934400355
2018-08-03,9,1046718.0,1456.3399276003547
2018-08-06,9,1054340.9999999998,1456.3399276003547
2018-08-07,9,1053447.9999999998,1456.3399276003547
2018-08-08,9,1050648.9999999998,1456.3399276003547
2018-08-09,8,907696.0,149619.52163440036
2018-08-10,7,902080.0,153825.04859770037
2018-08-13,7,901012.0,153825.04859770037
2018-08-14,7,910557.0,153825.04859770037
2018-08-15,7,886495.0,175722.92098500038
2018-08-16,7,867385.9999999999,198854.0475425004
2018-08-17,7,875721.9999999999,198854.0475425004
2018-08-20,7,890677.0,184355.4253005004
2018-08-21,7,894194.0,184355.4253005004
2018-08-22,8,1046286.0000000001,35137.64939330044
2018-08-23,8,1047829.0000000001,35137.64939330044
2018-08-24,8,1055487.0,35137.64939330044
2018-08-27,7,901408.0,189887.25957860047
2018-08-28,7,902590.0,189887.25957860047
2018-08-29,7,911769.0,189887.25957860047
2018-08-30,6,755414.0000000001,343687.10577860044
2018-08-31,6,758694.0000000001,343687.10577860044
2018-09-04,6,760125.0000000001,343687.10577860044
2018-09-05,5,605568.9999999999,499562.2512020004
2018-09-06,7,900203.0,204973.6951402004
2018-09-07,7,893721.0,204973.6951402004
2018-09-10,7,904383.0,204973.6951402004
2018-09-11,7,901951.0,204973.6951402004
2018-09-12,7,902082.0,204973.6951402004
2018-09-13,8,1038839.9999999999,75678.11271640041
2018-09-14,9,1091034.0,21808.156576400426
2018-09-17,9,1087456.0,21808.156576400426
2018-09-18,9,1097358.0,21808.156576400426
2018-09-19,9,1095880.0,21808.156576400426
2018-09-20,9,1103769.0,21808.156576400426
2018-09-21,9,1106052.0,21808.156576400426
2018-09-24,9,1098331.0,21808.156576400426
2018-09-25,9,1094029.0,21808.156576400426
2018-09-26,8,949079.0,167778.19242440042
2018-09-27,9,1088283.0,36007.072944400425
2018-09-28,8,941166.9999999999,182855.96505640043
2018-10-01,8,938163.9999999999,182855.96505640043
2018-10-02,7,791479.0,327162.1662046004
2018-10-03,6,770757.0000000001,344641.4188552004
2018-10-04,6,762604.0000000001,344641.4188552004
