screen_date,rank,symbol,score
2019-02-13,1,02628,0.282842712474619
2019-02-13,2,00728,-0.282842712474619
2019-02-20,1,00992,0.0
2019-02-22,1,01288,0.0
2019-02-25,1,01398,0.8459195958547441
2019-02-25,2,00939,0.020416474156583153
2019-02-25,3,01288,-0.12487597392667601
2019-02-25,4,03988,-0.20960020720110212
2019-02-25,5,00998,-0.5318598888835484
2019-02-26,1,01378,0.0
2019-03-04,1,00998,0.0
2019-03-05,1,00700,1.0700799722592014
2019-03-05,2,00998,-0.4377576203441736
2019-03-05,3,01288,-0.6323223519150276
2019-03-06,1,00700,0.7447964868787365
2019-03-06,2,01109,-0.08811082322163855
2019-03-06,3,00998,-0.6566856636570979
2019-03-15,1,00883,0.0
2019-03-19,1,00857,0.0
2019-03-20,1,00857,0.0
2019-03-29,1,03968,0.0
2019-04-03,1,00700,0.0
2019-04-16,1,00939,0.2873987250450909
2019-04-16,2,03988,0.09994068155729285
2019-04-16,3,01398,-0.3873394066023814
2019-04-23,1,02628,0.14142135623730948
2019-04-23,2,01810,-0.14142135623730948
2019-06-20,1,03690,0.0
2019-06-21,1,03690,0.0
2019-11-07,1,01288,0.0
2019-12-13,1,03968,0.6659106634398311
2019-12-13,2,01288,0.3796235035697163
2019-12-13,3,03988,-1.045534167009547
2019-12-17,1,03968,0.7071067811865475
2019-12-17,2,01288,-0.7071067811865474
2019-12-18,1,01398,0.565685424949238
2019-12-18,2,01288,-0.565685424949238
2019-12-19,1,01288,0.0
2020-01-02,1,03968,0.0
2020-01-03,1,00175,0.0
2020-01-07,1,02628,0.0
2020-01-13,1,00939,0.1414213562373095
2020-01-13,2,02318,-0.1414213562373094
2020-01-14,1,02318,0.0
2020-01-20,1,06160,0.1414213562373095
2020-01-20,2,00941,-0.14142135623730945
2020-01-22,1,00941,0.0
2020-06-23,1,09988,0.0
2020-07-06,1,09988,0.7071067811865476
2020-07-06,2,00939,-0.7071067811865476
2020-07-07,1,00939,0.0
2020-07-08,1,00939,0.0
2020-08-11,1,03968,0.0
2020-10-12,1,01109,0.0
2020-10-15,1,01088,0.0
2020-11-04,1,09618,0.0
2020-11-10,1,01088,0.0
2020-11-25,1,02318,0.0
2020-11-30,1,01398,0.0
2021-01-06,1,00700,0.282842712474619
2021-01-06,2,00386,-0.282842712474619
2021-01-08,1,01288,0.0
2021-01-11,1,00939,0.7932308060984548
2021-01-11,2,01288,0.632854811876978
2021-01-11,3,03988,-0.09697229850581983
2021-01-11,4,00998,-0.3358483576046736
2021-01-11,5,00857,-0.9932649618649392
2021-01-12,1,01288,0.0
2021-01-15,1,01288,0.437601759707148
2021-01-15,2,00939,0.41396722981168776
2021-01-15,3,00998,-0.8515689895188352
2021-01-19,1,03988,0.0
2021-01-20,1,03988,0.0
2021-02-09,1,09987,0.0
2021-02-18,1,00267,0.0
2021-02-23,1,01398,0.0
2021-02-25,1,00998,0.0
2021-03-03,1,01398,0.282842712474619
2021-03-03,2,00939,-0.282842712474619
2021-03-05,1,00939,0.5656854249492379
2021-03-05,2,03988,-0.565685424949238
2021-03-08,1,03988,0.0
2021-03-09,1,03988,0.282842712474619
2021-03-09,2,00267,-0.282842712474619
2021-03-25,1,02328,0.0
2021-03-29,1,00998,0.22955494690372663
2021-03-29,2,00939,0.14781261374599755
2021-03-29,3,00267,-0.37736756064972393
2021-04-16,1,00998,0.0
2021-04-19,1,03988,0.0
2021-04-22,1,03968,0.282842712474619
2021-04-22,2,00941,-0.282842712474619
2021-04-28,1,00728,0.0
2021-05-04,1,00857,0.0
2021-05-06,1,01088,0.0
2021-05-07,1,01088,0.0
2021-05-20,1,09987,0.0
2021-05-26,1,03988,0.0
2021-06-03,1,00267,0.0
2021-06-25,1,01088,0.0
2022-12-28,1,03988,0.23875792629210713
2022-12-28,2,01398,-0.04561240858573937
2022-12-28,3,00939,-0.19314551770636673
2023-01-03,1,00939,0.0
2023-01-04,1,00939,0.1414213562373095
2023-01-04,2,00941,-0.1414213562373095
