date,equity,benchmark
2018-01-02,1000000.0,1000000.0
2018-01-03,1000000.0,1003522.2894881673
2018-01-04,1000000.0,1011062.7353324215
2018-01-05,1000000.0,1014064.0921549501
2018-01-08,1000000.0,1020171.4282600522
2018-01-09,1000000.0,1021496.6460872834
2018-01-10,1000000.0,1023564.0294904558
2018-01-11,1000000.0,1022564.6670335717
2018-01-12,1000000.0,1035352.5831394366
2018-01-15,1000000.0,1026256.9680193117
2018-01-16,1000000.0,1049914.7217968907
2018-01-17,1000000.0,1052243.6613501746
2018-01-18,1000000.0,1061862.3887705225
2018-01-19,1000000.0,1071163.9793588605
2018-01-22,1000000.0,1078442.8690530031
2018-01-23,1000000.0,1099149.3976034916
2018-01-24,1000000.0,1101848.8750361002
2018-01-25,1000000.0,1086394.1760163908
2018-01-26,1000000.0,1108515.2874120653
2018-01-29,1000000.0,1101487.0556951126
2018-01-30,1000000.0,1084059.7873766462
2018-01-31,1000000.0,1092969.0437398169
2018-02-01,1000000.0,1083832.015562591
2018-02-02,1000000.0,1088603.2356675405
2018-02-05,1000000.0,1079352.8664919324
2018-02-06,1000000.0,1014611.1804356
2018-02-07,1000000.0,1000893.6501795474
2018-02-08,1000000.0,1001567.1572660842
2018-02-09,1000000.0,965488.7558100884
2018-02-12,1000000.0,967048.2843551278
2018-02-13,1000000.0,980829.0240141241
2018-02-14,1000000.0,1001091.9969267154
2018-02-15,1000000.0,1024829.3073666199
2018-02-20,1000000.0,1020149.6319142096
2018-02-21,1000000.0,1042203.174637772
2018-02-22,1000000.0,1027889.5143229236
2018-02-23,1000000.0,1040468.1855086995
2018-02-26,1000000.0,1047644.632377382
2018-02-27,1000000.0,1034295.4603660697
2018-02-28,1000000.0,1017156.993630018
2018-03-01,1000000.0,1022850.1991641101
2018-03-02,1000000.0,1004997.9021017125
2018-03-05,1000000.0,984248.870676831
2018-03-06,1000000.0,1008252.0965360157
2018-03-07,1000000.0,999263.2835105194
2018-03-08,1000000.0,1014274.4268923313
2018-03-09,1000000.0,1026651.4818790628
2018-03-12,1000000.0,1047020.1670689906
2018-03-13,1000000.0,1047324.2260934954
2018-03-14,1000000.0,1042667.4368042197
