date,n_positions,market_value,cash
2019-05-15,0,0.0,956581.2190434231
2019-05-16,0,0.0,956581.2190434231
2019-05-17,0,4472.393036860041,956581.2190434231
2019-05-20,0,0.0,963784.7267821116
2019-05-21,0,0.0,963784.7267821116
2019-05-22,0,0.0,963784.7267821116
2019-05-23,0,0.0,963784.7267821116
2019-05-24,0,0.0,963784.7267821116
2019-05-27,0,0.0,963784.7267821116
2019-05-28,0,0.0,963784.7267821116
2019-05-29,0,0.0,963784.7267821116
2019-05-30,0,0.0,963784.7267821116
2019-05-31,0,0.0,963784.7267821116
2019-06-03,0,0.0,963784.7267821116
2019-06-04,0,0.0,963784.7267821116
2019-06-05,0,0.0,963784.7267821116
2019-06-06,0,0.0,963784.7267821116
2019-06-10,0,0.0,963784.7267821116
2019-06-11,0,0.0,963784.7267821116
2019-06-12,0,0.0,963784.7267821116
2019-06-13,0,0.0,963784.7267821116
2019-06-14,0,0.0,963784.7267821116
2019-06-17,0,0.0,963784.7267821116
2019-06-18,0,0.0,963784.7267821116
2019-06-19,0,0.0,963784.7267821116
2019-06-20,0,0.0,963784.7267821116
2019-06-21,1,199841.00063837715,769627.5921106116
2019-06-24,1,197183.6363255505,769627.5921106116
2019-06-25,1,201711.84624331025,769627.5921106116
2019-06-26,1,199485.0,773490.8716111778
2019-06-27,1,212350.0,773490.8716111778
2019-06-28,1,212630.68579110678,773490.8716111778
2019-07-02,1,211554.59389212495,773490.8716111778
2019-07-03,1,211637.15238249116,773490.8716111778
2019-07-04,1,215534.71623617318,773490.8716111778
2019-07-05,1,213323.43174004997,773490.8716111778
2019-07-08,1,216828.44705522223,773490.8716111778
2019-07-09,1,217063.32303438638,773490.8716111778
2019-07-10,1,209095.0,777794.3552217727
2019-07-11,1,204600.0,777794.3552217727
2019-07-12,1,201500.0,777794.3552217727
2019-07-15,1,199780.35810233466,777794.3552217727
2019-07-16,1,197338.92831550934,777794.3552217727
2019-07-17,0,-2402.288604502799,974655.7872312727
2019-07-18,0,-445.28649417997804,974655.7872312727
2019-07-19,0,-3590.365403510048,974655.7872312727
2019-07-22,0,184.10781607439276,974655.7872312727
2019-07-23,0,-840.4290579390945,974655.7872312727
