decision_date,planned_exec_date,symbol,reason,event,exit_layer
2023-09-06,2023-09-07,09961,trailing_stop: close=302.20 <= stop=309.67,exit_signal,STOP_TRAIL
2023-09-11,2023-09-12,00883,trailing_stop: close=13.34 <= stop=13.43,exit_signal,STOP_TRAIL
2023-09-12,2023-09-13,00857,trailing_stop: close=5.49 <= stop=5.71,exit_signal,STOP_TRAIL
2023-09-26,2023-09-27,00941,trailing_stop: close=65.70 <= stop=65.92,exit_signal,STOP_TRAIL
2023-10-13,2023-10-16,09633,break_ma60: close=43.75 < MA60=43.75,exit_signal,STOP_TREND
2023-10-19,2023-10-20,02328,trailing_stop: close=9.52 <= stop=9.54,exit_signal,STOP_TRAIL
2023-10-20,2023-10-24,03328,trailing_stop: close=4.67 <= stop=4.69,exit_signal,STOP_TRAIL
2023-10-24,2023-10-25,01288,trailing_stop: close=2.83 <= stop=2.87,exit_signal,STOP_TRAIL
2023-11-02,2023-11-03,01810,take_profit: close=15.08 >= target=14.46,exit_signal,TAKE_PROFIT
2023-11-08,2023-11-09,01398,trailing_stop: close=3.71 <= stop=3.73,exit_signal,STOP_TRAIL
2023-11-10,2023-11-13,00981,trailing_stop: close=21.80 <= stop=22.54,exit_signal,STOP_TRAIL
2023-11-29,2023-11-30,09633,trailing_stop: close=43.75 <= stop=44.20,exit_signal,STOP_TRAIL
2023-12-08,2023-12-11,01088,break_ma60: close=24.65 < MA60=24.72,exit_signal,STOP_TREND
2024-01-04,2024-01-05,01088,overbought: RSI=80.2 >= 80.0,exit_signal,OVERBOUGHT
2024-01-15,2024-01-16,03988,time_stop: 持有 60 天 >= 60,exit_signal,TIME_STOP
2024-01-16,2024-01-17,00267,trailing_stop: close=7.25 <= stop=7.38,exit_signal,STOP_TRAIL
2024-01-17,2024-01-18,00998,trailing_stop: close=3.58 <= stop=3.63,exit_signal,STOP_TRAIL
2024-01-23,2024-01-24,00728,trailing_stop: close=3.72 <= stop=3.73,exit_signal,STOP_TRAIL
2024-02-22,2024-02-23,00998,take_profit: close=4.25 >= target=4.21,exit_signal,TAKE_PROFIT
2024-02-26,2024-02-27,00883,overbought: RSI=82.3 >= 80.0,exit_signal,OVERBOUGHT
2024-02-29,2024-03-01,01088,trailing_stop: close=30.25 <= stop=30.51,exit_signal,STOP_TRAIL
2024-02-29,2024-03-01,00728,trailing_stop: close=4.17 <= stop=4.18,exit_signal,STOP_TRAIL
2024-02-29,2024-03-01,00941,trailing_stop: close=65.80 <= stop=66.55,exit_signal,STOP_TRAIL
2024-03-12,2024-03-13,03988,take_profit: close=3.23 >= target=3.22,exit_signal,TAKE_PROFIT
2024-03-18,2024-03-19,01398,trailing_stop: close=3.96 <= stop=3.96,exit_signal,STOP_TRAIL
2024-03-18,2024-03-19,02328,trailing_stop: close=10.58 <= stop=10.62,exit_signal,STOP_TRAIL
2024-03-26,2024-03-27,01288,time_stop: 持有 60 天 >= 60,exit_signal,TIME_STOP
2024-03-27,2024-03-28,00267,trailing_stop: close=7.58 <= stop=7.81,exit_signal,STOP_TRAIL
2024-04-16,2024-04-17,00175,trailing_stop: close=8.93 <= stop=9.15,exit_signal,STOP_TRAIL
2024-04-29,2024-04-30,03988,take_profit: close=3.63 >= target=3.58,exit_signal,TAKE_PROFIT
2024-04-30,2024-05-02,00998,take_profit: close=4.60 >= target=4.58,exit_signal,TAKE_PROFIT
2024-05-02,2024-05-03,01288,trailing_stop: close=3.40 <= stop=3.42,exit_signal,STOP_TRAIL
2024-05-03,2024-05-06,00728,trailing_stop: close=4.20 <= stop=4.25,exit_signal,STOP_TRAIL
2024-05-08,2024-05-09,03328,take_profit: close=5.71 >= target=5.71,exit_signal,TAKE_PROFIT
2024-05-10,2024-05-13,01398,take_profit: close=4.53 >= target=4.45,exit_signal,TAKE_PROFIT
2024-05-10,2024-05-13,00939,take_profit: close=5.64 >= target=5.52,exit_signal,TAKE_PROFIT
