symbol,entry_date,entry_price,exit_date,exit_price,size,pnl,pnl_pct,hold_days,exit_reason
00728,2019-02-14,4.33433,2019-03-11,4.095899999999999,46100,-11237.090287000006,-0.055009655471549235,25,trailing_stop: close=4.07 <= stop=4.10
01288,2019-02-25,3.7837799999999993,2019-03-26,3.66633,52800,-6453.016891199968,-0.03104038818324517,29,trailing_stop: close=3.64 <= stop=3.67
01398,2019-02-26,6.176169999999999,2019-03-26,5.84415,32300,-10969.64185849997,-0.053758235281735955,28,trailing_stop: close=5.82 <= stop=5.88
03988,2019-02-26,3.7637599999999996,2019-03-26,3.6063899999999998,51300,-8313.59114909999,-0.04181191149276253,28,trailing_stop: close=3.59 <= stop=3.60
00857,2019-03-20,5.375369999999999,2019-03-26,5.11488,1700,-454.1368847999983,-0.04845991996829968,6,trailing_stop: close=5.08 <= stop=5.12
00998,2019-02-26,5.33533,2019-03-28,4.995,1800,-624.2822999999996,-0.0637879943696078,30,trailing_stop: close=5.03 <= stop=5.06
00992,2019-02-21,6.356349999999999,2019-04-12,7.092899999999999,31400,22838.137822000008,0.1158762497345176,50,trailing_stop: close=7.11 <= stop=7.25
01398,2019-04-17,6.04604,2019-04-26,5.83416,3100,-680.3396647999995,-0.035044425772902565,9,break_ma80: close=5.86 < MA80=5.87
01378,2019-02-27,5.315309999999999,2019-05-03,6.26373,100,94.02771510000004,0.17843173775377186,65,trailing_stop: close=6.20 <= stop=6.24
00883,2019-03-18,14.094079999999998,2019-05-03,13.60638,12700,-6418.431333799981,-0.03460318090999903,46,trailing_stop: close=13.90 <= stop=14.12
03968,2019-04-01,38.988949999999996,2019-05-07,38.761199999999995,5100,-1418.5117560000017,-0.005841398652695173,36,trailing_stop: close=38.45 <= stop=38.52
00939,2019-04-17,7.207199999999999,2019-05-07,6.80319,27700,-11436.059871899986,-0.05605644355644346,20,trailing_stop: close=6.82 <= stop=6.88
01810,2019-04-24,12.27226,2019-05-07,10.989,100,-129.75456999999986,-0.10456590717602121,13,trailing_stop: close=11.00 <= stop=11.27
03988,2019-04-17,3.8238199999999996,2019-05-08,3.6063899999999998,52300,-11616.78745609999,-0.05686198618135785,21,trailing_stop: close=3.65 <= stop=3.67
00700,2019-04-04,376.376,2019-05-15,373.4262,500,-1717.627029999991,-0.007837375390566836,41,trailing_stop: close=370.60 <= stop=375.28
03690,2019-06-21,62.61254999999999,2019-07-17,63.586349999999996,3100,2762.527009500013,0.01555279253120978,26,trailing_stop: close=64.50 <= stop=64.92
01288,2019-11-08,3.3333299999999997,2019-11-14,3.17682,60000,-9638.39195999997,-0.046953046953046806,6,trailing_stop: close=3.19 <= stop=3.20
03988,2019-12-16,3.2532499999999995,2020-01-09,3.24675,61400,-658.2555849999696,-0.0019980019980018193,24,trailing_stop: close=3.22 <= stop=3.27
01398,2019-12-19,5.915909999999999,2020-01-09,5.894100000000001,33800,-996.1647539999511,-0.003686668661287751,21,trailing_stop: close=5.84 <= stop=5.84
01288,2019-12-16,3.2732699999999997,2020-01-16,3.3666300000000002,61100,5436.884579100034,0.028521936778817647,31,trailing_stop: close=3.34 <= stop=3.34
00175,2020-01-06,15.675659999999999,2020-01-21,14.5854,10600,-11757.742811999988,-0.06955113851665573,15,trailing_stop: close=14.84 <= stop=15.25
02628,2020-01-08,21.771749999999997,2020-01-22,21.1788,400,-248.19297599999933,-0.027234834131385832,14,trailing_stop: close=21.10 <= stop=21.48
00939,2020-01-14,6.846839999999999,2020-01-22,6.44355,29200,-12020.66515799998,-0.058901624691098275,8,trailing_stop: close=6.44 <= stop=6.55
02318,2020-01-14,97.4974,2020-01-22,95.35455,1900,-4306.940738499992,-0.02197853481221035,8,trailing_stop: close=94.40 <= stop=95.36
06160,2020-01-21,106.30619999999999,2020-01-29,95.904,1800,-18948.375359999987,-0.09785130124113173,8,break_ma80: close=100.50 < MA80=100.71
03968,2019-12-16,39.038999999999994,2020-01-30,38.961,5100,-656.1114299999788,-0.0019980019980019303,45,trailing_stop: close=38.90 <= stop=39.29
00941,2020-01-21,68.068,2020-01-31,65.934,2500,-5549.285500000001,-0.03135100193923723,10,trailing_stop: close=64.60 <= stop=66.04
09988,2020-06-24,223.0228,2020-07-15,243.756,800,16333.053760000008,0.09296448614222408,21,trailing_stop: close=240.40 <= stop=242.05
00939,2020-07-07,6.546539999999999,2020-07-16,6.16383,30500,-11917.050859499983,-0.05845988873511798,9,trailing_stop: close=6.17 <= stop=6.20
03968,2020-08-12,38.78874999999999,2020-08-28,38.11185,5100,-3704.871565499981,-0.01745093616061344,16,trailing_stop: close=37.50 <= stop=38.13
09618,2020-11-05,350.34999999999997,2020-11-11,309.4902,500,-20631.068629999976,-0.11662566005423136,6,trailing_stop: close=330.40 <= stop=336.88
01088,2020-10-16,14.014,2020-12-08,14.34564,14200,4444.467485600002,0.023664906522049334,53,trailing_stop: close=14.28 <= stop=14.39
02318,2020-11-26,89.73965,2020-12-09,93.65625,2200,8348.663125000006,0.04364403025864272,13,trailing_stop: close=93.25 <= stop=95.83
01398,2020-12-01,4.94494,2020-12-17,4.6353599999999995,40400,-12750.481107200018,-0.06260541078354853,16,trailing_stop: close=4.67 <= stop=4.72
01288,2021-01-11,2.87287,2021-01-29,2.85714,69600,-1353.3220272000017,-0.005475360876057711,18,trailing_stop: close=2.84 <= stop=2.87
03988,2021-01-12,2.7127099999999995,2021-02-01,2.6173800000000003,73700,-7276.592177799945,-0.03514197979142597,20,trailing_stop: close=2.63 <= stop=2.67
00939,2021-01-18,6.186179999999999,2021-02-01,5.87412,32300,-10326.192298799993,-0.050444700930137754,14,trailing_stop: close=5.88 <= stop=5.91
09987,2021-02-10,469.06859999999995,2021-02-25,474.525,400,1935.8070000000123,0.011632413681069265,15,trailing_stop: close=465.00 <= stop=471.96
00998,2021-01-12,3.3933899999999997,2021-04-08,4.00599,58900,35775.4013457,0.1805274371646053,86,time_stop: 持有 85 天 >= 80
01398,2021-02-24,5.315309999999999,2021-05-03,5.04495,37600,-10412.133155999973,-0.05086438984744057,68,trailing_stop: close=5.06 <= stop=5.21
00939,2021-03-04,6.366359999999999,2021-05-03,6.1438500000000005,31400,-7237.605956999965,-0.03495089815844521,60,trailing_stop: close=6.15 <= stop=6.24
03988,2021-03-08,2.87287,2021-05-04,3.05694,45300,8158.347803400008,0.06407181668505713,57,trailing_stop: close=3.06 <= stop=3.06
00267,2021-02-19,6.416409999999999,2021-05-11,8.98101,31100,79395.95776570002,0.3996939098343155,81,time_stop: 持有 80 天 >= 80
00728,2021-04-29,2.75275,2021-05-12,2.64735,72600,-7901.8968929999955,-0.03828898374352918,13,trailing_stop: close=2.64 <= stop=2.67
02328,2021-03-26,6.716709999999999,2021-05-20,7.44255,900,644.5482165000006,0.10806481149253133,55,trailing_stop: close=7.52 <= stop=7.56
01088,2021-05-07,17.097079999999995,2021-05-21,16.72326,11600,-4588.498760799942,-0.021864552309516894,14,trailing_stop: close=16.84 <= stop=17.11
03988,2021-05-27,2.93293,2021-05-31,2.95704,68100,1380.1042488000203,0.008220448493486243,4,trailing_stop: close=2.94 <= stop=3.07
00267,2021-06-04,9.14914,2021-06-16,8.48151,21800,-14794.69999339998,-0.0729718858821703,12,trailing_stop: close=8.54 <= stop=8.66
09987,2021-05-21,505.50499999999994,2021-06-18,510.9885,300,1445.7644850000147,0.010847568273310904,28,trailing_stop: close=513.50 <= stop=513.85
00857,2021-05-05,2.9429399999999997,2021-06-22,3.4965,67900,37278.08794500003,0.18809761666904534,48,trailing_stop: close=3.42 <= stop=3.46
01398,2023-01-11,4.13413,2023-02-06,4.03596,48300,-4995.028928399983,-0.023746229557367493,26,trailing_stop: close=4.08 <= stop=4.12
00386,2023-01-12,3.8738699999999997,2023-02-07,4.11588,51600,12211.622769600002,0.06247241130962067,26,trailing_stop: close=4.11 <= stop=4.15
00998,2023-01-13,3.68368,2023-02-07,3.7162800000000002,54200,1505.0709112000222,0.008849845806367718,25,trailing_stop: close=3.70 <= stop=3.75
00941,2023-01-05,54.003949999999996,2023-02-28,57.7422,3700,13553.785018000004,0.06922178840621851,54,trailing_stop: close=57.30 <= stop=57.83
00857,2023-01-12,3.6336299999999997,2023-03-01,4.02597,55000,21290.84314500002,0.1079746699581412,48,trailing_stop: close=4.02 <= stop=4.03
00883,2023-01-16,10.610599999999998,2023-03-01,10.96902,2900,998.064794600007,0.0337794281190511,44,trailing_stop: close=11.02 <= stop=11.13
00941,2023-03-02,60.16009999999999,2023-03-08,61.68825,3300,4778.252407500012,0.02540138729822594,6,trailing_stop: close=62.25 <= stop=62.68
00883,2023-03-07,12.032019999999997,2023-03-13,11.66832,16600,-6289.222345599966,-0.030227675818357835,6,trailing_stop: close=11.40 <= stop=11.43
00857,2023-03-06,4.24424,2023-03-17,4.18581,47100,-3008.350146299978,-0.013766893483874498,11,trailing_stop: close=4.19 <= stop=4.25
00386,2023-03-06,4.354349999999999,2023-03-28,4.61538,45900,11705.877275400035,0.0599469496021221,22,trailing_stop: close=4.53 <= stop=4.54
09633,2023-03-29,46.1461,2023-04-13,42.957,4300,-13953.259629999984,-0.06910876542112976,15,trailing_stop: close=43.10 <= stop=43.49
00992,2023-02-09,6.576569999999999,2023-04-26,7.9620299999999995,30400,41803.3245744,0.21066604628248475,76,trailing_stop: close=8.01 <= stop=8.12
00939,2023-04-18,5.355349999999999,2023-05-04,5.15484,37300,-7728.981191599949,-0.03744106360928767,16,trailing_stop: close=5.15 <= stop=5.16
01288,2023-03-08,2.8428399999999994,2023-05-11,3.12687,3400,951.8812346000014,0.0999106527275544,64,trailing_stop: close=3.11 <= stop=3.14
01398,2023-03-08,4.12412,2023-05-11,4.465529999999999,100,33.560481099999976,0.08278372113323562,64,trailing_stop: close=4.47 <= stop=4.55
00998,2023-03-27,3.8638599999999994,2023-05-11,4.37562,51700,26163.90657980001,0.1324478630178112,45,trailing_stop: close=4.34 <= stop=4.41
03988,2023-03-07,3.0130099999999995,2023-05-15,3.1968,30200,5424.951632000017,0.060998801862589325,69,trailing_stop: close=3.21 <= stop=3.27
00267,2023-03-08,9.02902,2023-05-15,9.94005,21900,19668.563776500003,0.10090020843901115,68,trailing_stop: close=10.00 <= stop=10.17
00939,2023-05-08,5.425419999999999,2023-05-25,5.10489,36800,-12039.72193759996,-0.05907929708667692,17,trailing_stop: close=5.16 <= stop=5.28
01211,2023-05-23,252.65239999999997,2023-05-30,232.767,700,-14131.597969999983,-0.07870655493476408,7,trailing_stop: close=229.80 <= stop=232.99
00883,2023-05-09,13.133119999999998,2023-06-01,11.62836,15200,-23102.128393599964,-0.11457749567505648,23,trailing_stop: close=11.78 <= stop=12.11
01211,2023-07-31,275.4752,2023-08-14,249.55020000000002,700,-18374.590681999965,-0.0941101050112676,14,trailing_stop: close=254.40 <= stop=257.03
09633,2023-07-31,44.6446,2023-08-17,43.156800000000004,4400,-6793.176895999969,-0.033325418975643006,17,trailing_stop: close=43.05 <= stop=43.23
00857,2023-08-11,5.92592,2023-08-22,5.4945,33700,-14779.568044999975,-0.07280219780219765,11,break_ma80: close=5.52 < MA80=5.54
00883,2023-08-11,12.89288,2023-09-13,13.346639999999999,15500,6764.345203999986,0.035194619045550546,33,trailing_stop: close=13.12 <= stop=13.29
09961,2024-05-16,433.43299999999994,2024-05-27,408.591,300,-7611.950489999978,-0.057314509970399,11,trailing_stop: close=406.00 <= stop=409.71
03988,2024-04-25,3.4634599999999995,2024-05-30,3.7562399999999996,57700,16611.6504376,0.08453396314667994,35,trailing_stop: close=3.78 <= stop=3.80
