date,open,high,low,close,volume
2018-01-02,321.15,335.43,318.33,334.17,1422514.0
2018-01-03,333.46,340.45,332.71,339.85,1121700.0
2018-01-04,339.73,341.4,335.46,339.99,967081.0
2018-01-05,342.0,344.12,339.06,342.49,1486430.0
2018-01-08,341.45,341.94,327.26,329.65,1438849.0
2018-01-09,329.65,339.49,329.06,336.36,1326434.0
2018-01-10,334.59,339.94,331.84,336.72,973445.0
2018-01-11,338.01,338.54,329.34,333.07,1001967.0
2018-01-12,333.31,336.61,331.51,335.95,885516.0
2018-01-16,337.63,344.87,336.56,338.85,1256795.0
2018-01-17,339.72,347.78,337.28,344.87,1428975.0
2018-01-18,343.99,345.0,337.5,344.44,1302491.0
2018-01-19,347.57,347.57,341.82,342.41,1232214.0
2018-01-22,343.59,347.82,342.03,347.64,1195213.0
2018-01-23,348.0,354.28,345.74,346.75,1186212.0
2018-01-24,348.89,350.12,342.3,346.5,1512595.0
2018-01-25,358.0,358.0,341.21,353.74,1863031.0
2018-01-26,356.17,370.57,356.05,367.91,2232708.0
2018-01-29,365.15,367.9,357.47,358.48,1317973.0
2018-01-30,355.47,357.75,351.13,352.59,1127762.0
2018-01-31,357.34,359.61,345.72,347.81,1398017.0
2018-02-01,348.18,352.38,344.58,346.0,1372937.0
2018-02-02,343.98,348.69,342.31,343.83,1094965.0
2018-02-05,344.58,348.34,328.31,328.31,1541265.0
2018-02-06,322.52,332.95,321.11,332.86,1768248.0
2018-02-07,329.9,333.59,326.25,326.89,1237256.0
2018-02-08,326.67,328.7,311.5,311.79,1414619.0
2018-02-09,313.27,319.93,302.28,316.78,2180365.0
2018-02-12,319.25,323.18,315.5,316.63,1330994.0
2018-02-13,315.01,319.0,312.35,316.99,732923.0
2018-02-14,315.36,316.45,288.0,296.08,5426402.0
2018-02-15,298.85,300.75,289.27,299.38,3040883.0
2018-02-16,297.75,298.5,290.88,291.87,2943057.0
2018-02-20,292.0,294.88,286.51,287.45,2004460.0
2018-02-21,287.56,290.66,285.11,286.1,1922362.0
2018-02-22,287.7,291.91,283.97,284.81,2484736.0
2018-02-23,287.59,294.24,285.6,292.78,2541459.0
2018-02-26,294.0,296.1,288.8,290.01,1448254.0
2018-02-27,290.83,294.03,289.42,290.1,1697368.0
2018-02-28,291.26,292.89,287.39,288.99,1742358.0
2018-03-01,288.11,291.44,281.36,282.35,2339235.0
2018-03-02,278.22,288.0,277.0,286.96,1511910.0
2018-03-05,284.16,288.13,282.59,286.95,904335.0
2018-03-06,286.86,288.68,283.76,285.98,881660.0
2018-03-07,285.47,285.83,282.0,284.54,1404930.0
2018-03-08,285.47,286.82,283.23,284.69,1313658.0
2018-03-09,285.87,286.76,281.7,286.1,1715005.0
2018-03-12,286.0,286.68,279.29,279.9,2349025.0
2018-03-13,282.21,286.54,280.52,283.24,2258565.0
2018-03-14,285.03,289.17,282.71,285.72,2039475.0
2018-03-15,286.48,288.26,285.13,286.7,1342931.0
2018-03-16,289.4,292.3,287.47,287.62,2294189.0
2018-03-19,285.83,286.49,276.43,278.37,1530369.0
2018-03-20,278.66,281.4,276.51,279.68,1313354.0
2018-03-21,279.61,280.98,275.86,277.29,1340017.0
2018-03-22,275.46,278.37,271.63,271.89,1748568.0
2018-03-23,272.95,273.25,259.76,260.13,3039625.0
2018-03-26,263.24,270.2,262.48,268.2,2226802.0
2018-03-27,269.75,273.37,263.41,265.16,1880503.0
2018-03-28,266.38,275.0,265.69,271.82,1991754.0
2018-03-29,273.11,276.44,271.0,273.82,1237813.0
2018-04-02,272.02,272.54,261.0,266.89,1542452.0
2018-04-03,267.97,270.82,262.49,266.48,1456552.0
2018-04-04,263.63,273.31,263.62,272.4,1603149.0
2018-04-05,271.83,272.99,263.84,264.98,1804327.0
2018-04-06,263.51,266.16,256.77,257.65,1954005.0
2018-04-09,258.29,264.46,254.33,257.52,2235518.0
2018-04-10,261.51,267.58,259.44,265.09,1994297.0
2018-04-11,263.36,269.95,262.0,265.99,1771458.0
2018-04-12,268.67,270.18,266.27,267.44,1238306.0
2018-04-13,269.27,269.49,264.15,265.39,1197053.0
2018-04-16,267.44,269.26,262.2,263.11,1323297.0
2018-04-17,265.77,268.76,263.78,264.75,1863034.0
2018-04-18,265.5,270.74,265.5,268.03,1382226.0
2018-04-19,267.69,271.05,264.82,266.02,910917.0
2018-04-20,266.03,267.66,261.2,263.02,1584509.0
2018-04-23,263.14,264.48,258.0,259.3,1922299.0
2018-04-24,253.71,266.73,249.17,262.15,3619822.0
2018-04-25,262.7,274.4,262.27,269.45,2765717.0
2018-04-26,271.1,277.43,270.52,273.86,2084829.0
2018-04-27,275.6,279.44,274.01,276.8,1955650.0
2018-04-30,277.58,280.31,273.45,273.6,2083267.0
2018-05-01,274.89,279.72,271.69,274.61,1910289.0
2018-05-02,273.0,277.57,264.03,274.13,3616655.0
2018-05-03,272.84,275.04,264.51,266.44,1998962.0
2018-05-04,264.99,272.58,264.99,270.34,1937784.0
2018-05-07,271.15,273.78,269.02,269.7,1296821.0
2018-05-08,271.11,271.45,267.89,269.73,1303265.0
2018-05-09,269.75,275.72,269.07,274.03,1377304.0
2018-05-10,272.65,276.26,272.1,274.0,1416613.0
2018-05-11,274.36,283.59,274.36,282.39,1908861.0
2018-05-14,282.34,285.52,281.02,282.34,2027120.0
2018-05-15,280.16,281.73,275.0,276.06,1729040.0
2018-05-16,277.33,283.55,276.94,281.51,1515727.0
2018-05-17,280.26,281.62,277.26,280.57,1830683.0
2018-05-18,281.01,282.73,280.02,280.4,1639651.0
2018-05-21,281.36,282.1,276.42,277.67,1628055.0
